|------------|------------|------------|------------|
|      Quick |       Heap |      Merge |    C++ lib |
|------------|------------|------------|------------|
|      93852 |     213578 |     150446 |      51748 |
|     187769 |     210485 |     149265 |      52879 |
|     144631 |     222470 |     156166 |      57065 |
|     142048 |     215937 |     158024 |      55927 |
|     145328 |     215355 |     143612 |      51110 |
|     142595 |     210374 |     147607 |      53024 |
|     137066 |     213701 |     144843 |      52797 |
|     139484 |     212368 |     157126 |      52263 |
|     136138 |     212831 |     148207 |      53346 |
|     139949 |     214623 |     153882 |      50046 |
|------------|------------|------------|------------|
